Z_SCORE	ID_STUDY	GENE_NAME
-0.251	377	ADAM22
-0.127	377	ADAM23
-0.224	377	ADAM28
-0.304	377	ADAM29
-0.28800000000000003	377	ADAM30
-0.32299999999999995	377	ADAM32
-0.375	377	ADAM33
-0.23	377	ADAM7
-0.199	377	ADAM9
-0.199	377	ADAMDEC1
-0.224	377	ADAMTS1
-0.361	377	ADAMTS10
-0.19	377	ADAMTS12
-0.17600000000000002	377	ADAMTS13
-0.298	377	ADAMTS14
-0.33	377	ADAMTS15
-0.311	377	ADAMTS16
-0.374	377	ADAMTS17
-0.333	377	ADAMTS18
-0.123	377	ADAMTS19
-0.313	377	ADAMTS2
-0.175	377	ADAMTS20
-0.336	377	ADAMTS3
-0.156	377	ADAMTS4
-0.338	377	ADAMTS5
-0.374	377	ADAMTS6
-0.344	377	ADAMTS7
-0.211	377	ADAMTS8
-0.322	377	ADAMTS9
-0.415	377	ADAMTSL1_ENST00000380548
-0.319	377	ADAMTSL2
-0.285	377	ADAMTSL3
-0.316	377	ADAMTSL4
-0.254	377	ADAMTSL5
-0.395	377	ADAP1
-0.39	377	ADAP2
-0.065	377	ADAR
-0.189	377	ADARB1
-0.365	377	ADARB2
-0.059	377	ADAT1
-0.149	377	ADAT2
-0.17600000000000002	377	ADAT3
-0.318	377	ADC
-0.151	377	ADCK1
-0.339	377	ADCK2
-0.05	377	ADCK4
-0.115	377	ADCK5
-0.3	377	ADCY1
-0.238	377	ADCY10
-0.336	377	ADCY2
-0.175	377	ADCY3
-0.34	377	ADCY4
-0.328	377	ADCY5
-0.234	377	ADCY6
-0.116	377	ADCY7
-0.097	377	ADCY8
-0.13699999999999998	377	ADCY9
-0.14800000000000002	377	ADCYAP1
-0.158	377	ADCYAP1R1
-0.094	377	ADD1
-0.34600000000000003	377	ADD2
-0.081	377	ADD3
-0.28800000000000003	377	ADH1A
-0.252	377	ADH1B
-0.24	377	ADH4
-0.006999999999999999	377	ADH5
-0.327	377	ADH6
0.0	377	ADH7
-0.14400000000000002	377	ADHFE1
-0.172	377	ADI1
-0.173	377	ADIG
-0.285	377	ADIPOQ
-0.094	377	ADIPOR1
-0.057	377	ADIPOR2
-0.136	377	ADK
-0.336	377	ADM
-0.36	377	ADM2
0.055	377	ADNP
-0.132	377	ADNP2
-0.208	377	ADO
-0.28600000000000003	377	ADORA1
-0.214	377	ADORA2A
-0.208	377	ADORA2B
-0.295	377	ADORA3
-0.09	377	ADPGK
-0.11	377	ADPRH
-0.2	377	ADPRHL1
-0.121	377	ADPRHL2
-0.158	377	ADRA1A
-0.27	377	ADRA1B
-0.127	377	ADRA1D
-0.34700000000000003	377	ADRA2A
-0.35	377	ADRA2C
-0.332	377	ADRB1
-0.37	377	ADRB2
-0.34700000000000003	377	ADRB3
-0.138	377	ADRBK1
-0.036000000000000004	377	ADRBK2
-0.268	377	ADRM1
-0.01	377	ADSL
-0.15	377	ADSS
-0.287	377	ADSSL1
-0.264	377	AEBP1
-0.14300000000000002	377	AEBP2
-0.078	377	AEN
-0.145	377	AES
-0.337	377	AFAP1
-0.211	377	AFAP1L1
-0.205	377	AFAP1L2
-0.247	377	AFF1
-0.309	377	AFF2
-0.245	377	AFF3
